evento_id,falha,inicio,fim,duracao_pts,rodada,cenario,base
oscilacao_001,oscilacao,2024-01-08 06:00:00,2024-01-08 17:20:00,69.0,1,sem_erro,treino
lacuna_001,lacuna,2024-01-08 01:40:00,2024-01-08 05:50:00,26.0,1,sem_erro,treino
queda_001,queda,2024-01-08 17:30:00,2024-01-08 20:50:00,21.0,1,sem_erro,treino
oscilacao_final,oscilacao,,,,1,sem_erro,treino
lacuna_final,lacuna,,,,1,sem_erro,treino
queda_final,queda,,,,1,sem_erro,treino
oscilacao_001,oscilacao,2024-01-08 06:00:00,2024-01-08 17:20:00,69.0,1,com_erro,treino
lacuna_001,lacuna,2024-01-08 01:40:00,2024-01-08 05:50:00,26.0,1,com_erro,treino
queda_001,queda,2024-01-08 17:30:00,2024-01-08 20:50:00,21.0,1,com_erro,treino
oscilacao_001,oscilacao,2024-01-08 06:00:00,2024-01-08 11:50:00,36.0,1,com_erro,teste
lacuna_001,lacuna,2024-01-08 12:00:00,2024-01-08 19:30:00,46.0,1,com_erro,teste
lacuna_002,lacuna,2024-01-08 01:00:00,2024-01-08 05:50:00,30.0,1,com_erro,teste
oscilacao_final,oscilacao,,,,1,com_erro,teste
lacuna_final,lacuna,,,,1,com_erro,teste
queda_final,queda,,,,1,com_erro,teste
oscilacao_001,oscilacao,2024-01-08 06:00:00,2024-01-08 15:30:00,58.0,2,sem_erro,treino
lacuna_001,lacuna,2024-01-08 15:40:00,2024-01-08 22:20:00,41.0,2,sem_erro,treino
lacuna_002,lacuna,2024-01-08 01:50:00,2024-01-08 05:50:00,25.0,2,sem_erro,treino
oscilacao_final,oscilacao,,,,2,sem_erro,treino
lacuna_final,lacuna,,,,2,sem_erro,treino
queda_final,queda,,,,2,sem_erro,treino
oscilacao_001,oscilacao,2024-01-08 06:00:00,2024-01-08 15:30:00,58.0,2,com_erro,treino
lacuna_001,lacuna,2024-01-08 15:40:00,2024-01-08 22:20:00,41.0,2,com_erro,treino
lacuna_002,lacuna,2024-01-08 01:50:00,2024-01-08 05:50:00,25.0,2,com_erro,treino
oscilacao_001,oscilacao,2024-01-08 06:00:00,2024-01-08 17:00:00,67.0,2,com_erro,teste
lacuna_001,lacuna,2024-01-08 01:40:00,2024-01-08 05:50:00,26.0,2,com_erro,teste
queda_001,queda,2024-01-08 17:10:00,2024-01-08 20:30:00,21.0,2,com_erro,teste
oscilacao_final,oscilacao,,,,2,com_erro,teste
lacuna_final,lacuna,,,,2,com_erro,teste
queda_final,queda,,,,2,com_erro,teste
oscilacao_001,oscilacao,2024-01-08 06:00:00,2024-01-08 13:30:00,46.0,3,sem_erro,treino
lacuna_001,lacuna,2024-01-08 13:40:00,2024-01-08 19:50:00,38.0,3,sem_erro,treino
lacuna_002,lacuna,2024-01-08 01:30:00,2024-01-08 05:50:00,27.0,3,sem_erro,treino
oscilacao_final,oscilacao,,,,3,sem_erro,treino
lacuna_final,lacuna,,,,3,sem_erro,treino
queda_final,queda,,,,3,sem_erro,treino
oscilacao_001,oscilacao,2024-01-08 06:00:00,2024-01-08 13:30:00,46.0,3,com_erro,treino
lacuna_001,lacuna,2024-01-08 13:40:00,2024-01-08 19:50:00,38.0,3,com_erro,treino
lacuna_002,lacuna,2024-01-08 01:30:00,2024-01-08 05:50:00,27.0,3,com_erro,treino
oscilacao_001,oscilacao,2024-01-08 06:00:00,2024-01-08 16:40:00,65.0,3,com_erro,teste
lacuna_001,lacuna,2024-01-08 01:50:00,2024-01-08 05:50:00,25.0,3,com_erro,teste
queda_001,queda,2024-01-08 16:50:00,2024-01-08 22:00:00,32.0,3,com_erro,teste
oscilacao_final,oscilacao,,,,3,com_erro,teste
lacuna_final,lacuna,,,,3,com_erro,teste
queda_final,queda,,,,3,com_erro,teste
oscilacao_001,oscilacao,2024-01-08 06:00:00,2024-01-08 16:10:00,62.0,4,sem_erro,treino
lacuna_001,lacuna,2024-01-08 01:10:00,2024-01-08 05:50:00,29.0,4,sem_erro,treino
queda_001,queda,2024-01-08 16:20:00,2024-01-08 21:30:00,32.0,4,sem_erro,treino
oscilacao_final,oscilacao,,,,4,sem_erro,treino
lacuna_final,lacuna,,,,4,sem_erro,treino
queda_final,queda,,,,4,sem_erro,treino
oscilacao_001,oscilacao,2024-01-08 06:00:00,2024-01-08 16:10:00,62.0,4,com_erro,treino
lacuna_001,lacuna,2024-01-08 01:10:00,2024-01-08 05:50:00,29.0,4,com_erro,treino
queda_001,queda,2024-01-08 16:20:00,2024-01-08 21:30:00,32.0,4,com_erro,treino
oscilacao_001,oscilacao,2024-01-08 06:00:00,2024-01-08 16:10:00,62.0,4,com_erro,teste
lacuna_001,lacuna,2024-01-08 02:00:00,2024-01-08 05:50:00,24.0,4,com_erro,teste
lacuna_002,lacuna,2024-01-08 16:20:00,2024-01-08 20:10:00,24.0,4,com_erro,teste
oscilacao_final,oscilacao,,,,4,com_erro,teste
lacuna_final,lacuna,,,,4,com_erro,teste
queda_final,queda,,,,4,com_erro,teste
oscilacao_001,oscilacao,2024-01-08 06:00:00,2024-01-08 14:20:00,51.0,5,sem_erro,treino
lacuna_001,lacuna,2024-01-08 14:30:00,2024-01-08 22:10:00,47.0,5,sem_erro,treino
lacuna_002,lacuna,2024-01-08 01:20:00,2024-01-08 05:50:00,28.0,5,sem_erro,treino
oscilacao_final,oscilacao,,,,5,sem_erro,treino
lacuna_final,lacuna,,,,5,sem_erro,treino
queda_final,queda,,,,5,sem_erro,treino
oscilacao_001,oscilacao,2024-01-08 06:00:00,2024-01-08 14:20:00,51.0,5,com_erro,treino
lacuna_001,lacuna,2024-01-08 14:30:00,2024-01-08 22:10:00,47.0,5,com_erro,treino
lacuna_002,lacuna,2024-01-08 01:20:00,2024-01-08 05:50:00,28.0,5,com_erro,treino
oscilacao_001,oscilacao,2024-01-08 06:00:00,2024-01-08 13:40:00,47.0,5,com_erro,teste
lacuna_001,lacuna,2024-01-08 13:50:00,2024-01-08 19:20:00,34.0,5,com_erro,teste
lacuna_002,lacuna,2024-01-08 01:30:00,2024-01-08 05:50:00,27.0,5,com_erro,teste
oscilacao_final,oscilacao,,,,5,com_erro,teste
lacuna_final,lacuna,,,,5,com_erro,teste
queda_final,queda,,,,5,com_erro,teste
