variavel,rodada,cenario,base,falha,quantidade_eventos
"MP2,5_1",1,com_erro,teste,lacuna,30
"MP2,5_1",1,com_erro,teste,oscilacao,27
"MP2,5_1",1,com_erro,teste,queda,31
"MP2,5_1",1,com_erro,treino,lacuna,23
"MP2,5_1",1,com_erro,treino,oscilacao,28
"MP2,5_1",1,com_erro,treino,queda,30
"MP2,5_1",1,sem_erro,treino,lacuna,24
"MP2,5_1",1,sem_erro,treino,oscilacao,29
"MP2,5_1",1,sem_erro,treino,queda,31
"MP2,5_1",2,com_erro,teste,lacuna,31
"MP2,5_1",2,com_erro,teste,oscilacao,29
"MP2,5_1",2,com_erro,teste,queda,30
"MP2,5_1",2,com_erro,treino,lacuna,23
"MP2,5_1",2,com_erro,treino,oscilacao,22
"MP2,5_1",2,com_erro,treino,queda,21
"MP2,5_1",2,sem_erro,treino,lacuna,24
"MP2,5_1",2,sem_erro,treino,oscilacao,23
"MP2,5_1",2,sem_erro,treino,queda,22
"MP2,5_1",3,com_erro,teste,lacuna,25
"MP2,5_1",3,com_erro,teste,oscilacao,28
"MP2,5_1",3,com_erro,teste,queda,29
"MP2,5_1",3,com_erro,treino,lacuna,28
"MP2,5_1",3,com_erro,treino,oscilacao,28
"MP2,5_1",3,com_erro,treino,queda,25
"MP2,5_1",3,sem_erro,treino,lacuna,29
"MP2,5_1",3,sem_erro,treino,oscilacao,29
"MP2,5_1",3,sem_erro,treino,queda,26
"MP2,5_1",4,com_erro,teste,lacuna,24
"MP2,5_1",4,com_erro,teste,oscilacao,31
"MP2,5_1",4,com_erro,teste,queda,21
"MP2,5_1",4,com_erro,treino,lacuna,24
"MP2,5_1",4,com_erro,treino,oscilacao,27
"MP2,5_1",4,com_erro,treino,queda,25
"MP2,5_1",4,sem_erro,treino,lacuna,25
"MP2,5_1",4,sem_erro,treino,oscilacao,28
"MP2,5_1",4,sem_erro,treino,queda,26
"MP2,5_1",5,com_erro,teste,lacuna,24
"MP2,5_1",5,com_erro,teste,oscilacao,31
"MP2,5_1",5,com_erro,teste,queda,21
"MP2,5_1",5,com_erro,treino,lacuna,25
"MP2,5_1",5,com_erro,treino,oscilacao,20
"MP2,5_1",5,com_erro,treino,queda,26
"MP2,5_1",5,sem_erro,treino,lacuna,26
"MP2,5_1",5,sem_erro,treino,oscilacao,21
"MP2,5_1",5,sem_erro,treino,queda,27
