teste,modelo,falha,janela,passo_cfg,passo_real,amostras_treino,amostras_teste,positivos_treino,negativos_treino,positivos_teste,negativos_teste,eventos_reais_teste,eventos_detectados,diferenca_eventos,accuracy,balanced_accuracy,precision_pos,recall_pos,f1_pos,specificity,tn,fp,fn,tp,path_cm,path_eventos,variavel,rodada,cenario
sem_erro,catboost,lacuna,20,5,5,947,947,254,693,0,947,0,0,0,1.0,1.0,0.0,0.0,0.0,0.9999999999989441,947,0,0,0,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_1\sem_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_1_sem_erro_catboost_lacuna_jan20_passo5_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_1\sem_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_1_sem_erro_catboost_lacuna_jan20_passo5_eventos.png,Temperatura,1,sem_erro
sem_erro,catboost,oscilacao,30,30,30,158,158,54,104,0,158,0,14,14,0.8987341772151899,0.8987341772151899,0.0,0.0,0.0,0.8987341772095018,142,16,0,0,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_1\sem_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_1_sem_erro_catboost_oscilacao_jan30_passo30_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_1\sem_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_1_sem_erro_catboost_oscilacao_jan30_passo30_eventos.png,Temperatura,1,sem_erro
sem_erro,catboost,queda,30,30,30,158,158,38,120,0,158,0,7,7,0.9430379746835443,0.9430379746835443,0.0,0.0,0.0,0.9430379746775758,149,9,0,0,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_1\sem_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_1_sem_erro_catboost_queda_jan30_passo30_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_1\sem_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_1_sem_erro_catboost_queda_jan30_passo30_eventos.png,Temperatura,1,sem_erro
sem_erro,mlp,lacuna,20,5,5,947,947,254,693,0,947,0,0,0,1.0,1.0,0.0,0.0,0.0,0.9999999999989441,947,0,0,0,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_1\sem_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_1_sem_erro_mlp_lacuna_jan20_passo5_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_1\sem_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_1_sem_erro_mlp_lacuna_jan20_passo5_eventos.png,Temperatura,1,sem_erro
sem_erro,mlp,oscilacao,90,80,80,59,59,32,27,0,59,0,8,8,0.864406779661017,0.864406779661017,0.0,0.0,0.0,0.864406779646366,51,8,0,0,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_1\sem_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_1_sem_erro_mlp_oscilacao_jan90_passo80_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_1\sem_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_1_sem_erro_mlp_oscilacao_jan90_passo80_eventos.png,Temperatura,1,sem_erro
sem_erro,mlp,queda,20,20,20,237,237,45,192,0,237,0,1,1,0.9957805907172996,0.9957805907172996,0.0,0.0,0.0,0.995780590713098,236,1,0,0,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_1\sem_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_1_sem_erro_mlp_queda_jan20_passo20_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_1\sem_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_1_sem_erro_mlp_queda_jan20_passo20_eventos.png,Temperatura,1,sem_erro
sem_erro,random_forest,lacuna,20,5,5,947,947,254,693,0,947,0,0,0,1.0,1.0,0.0,0.0,0.0,0.9999999999989441,947,0,0,0,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_1\sem_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_1_sem_erro_random_forest_lacuna_jan20_passo5_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_1\sem_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_1_sem_erro_random_forest_lacuna_jan20_passo5_eventos.png,Temperatura,1,sem_erro
sem_erro,random_forest,oscilacao,30,25,25,189,189,67,122,0,189,0,10,10,0.9206349206349206,0.9206349206349206,0.0,0.0,0.0,0.9206349206300496,174,15,0,0,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_1\sem_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_1_sem_erro_random_forest_oscilacao_jan30_passo25_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_1\sem_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_1_sem_erro_random_forest_oscilacao_jan30_passo25_eventos.png,Temperatura,1,sem_erro
sem_erro,random_forest,queda,40,35,35,135,135,36,99,0,135,0,4,4,0.9629629629629629,0.9629629629629629,0.0,0.0,0.0,0.96296296295583,130,5,0,0,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_1\sem_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_1_sem_erro_random_forest_queda_jan40_passo35_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_1\sem_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_1_sem_erro_random_forest_queda_jan40_passo35_eventos.png,Temperatura,1,sem_erro
sem_erro,xgboost,lacuna,20,5,5,947,947,254,693,0,947,0,0,0,1.0,1.0,0.0,0.0,0.0,0.9999999999989441,947,0,0,0,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_1\sem_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_1_sem_erro_xgboost_lacuna_jan20_passo5_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_1\sem_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_1_sem_erro_xgboost_lacuna_jan20_passo5_eventos.png,Temperatura,1,sem_erro
