variavel,cenario,modelo,falha,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,precision_pos_mean,precision_pos_std,recall_pos_mean,recall_pos_std,f1_pos_mean,f1_pos_std,specificity_mean,specificity_std,eventos_reais_teste_mean,eventos_reais_teste_std,eventos_detectados_mean,eventos_detectados_std,diferenca_eventos_mean,diferenca_eventos_std,fp_mean,fp_std,fn_mean,fn_std,tp_mean,tp_std,tn_mean,tn_std
Temperatura,com_erro,catboost,lacuna,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9999999999985365,6.13934510736334e-14,20.4,2.8809720581775866,20.4,2.8809720581775866,0.0,0.0,0.0,0.0,0.0,0.0,262.8,27.662248643232168,684.2,27.66224864323217
Temperatura,com_erro,catboost,oscilacao,0.6931830293736568,0.05099058735293158,0.655095001675884,0.06747802810615136,0.6919138875062221,0.05777713030849578,0.853821225071225,0.06802578104298833,0.7623143178363195,0.045826346745646625,0.45636877825936206,0.13856530810989443,10.0,1.8708286933869707,9.8,1.4832396974191326,-0.2,0.447213595499958,12.0,3.9370039370059056,4.4,1.6733200530681511,26.6,5.128352561983234,10.4,4.33589667773576
Temperatura,com_erro,catboost,queda,0.7046170402102605,0.04277849854642513,0.7106902501130387,0.02975956912721785,0.7399426660296226,0.06684409923871079,0.6558675424192666,0.08281420219727788,0.6891846696931443,0.030900764039620943,0.765512957779899,0.07269778844341254,11.8,1.0954451150103324,12.0,0.9999999999999999,0.2,0.8366600265340756,6.8,2.16794833886788,10.4,4.09878030638384,19.0,0.7071067811865474,22.2,4.024922359499621
Temperatura,com_erro,mlp,lacuna,0.9959765897660766,0.007354763831438124,0.9951956689632746,0.009066217381667779,0.9931499460625673,0.012029982284483877,0.9993506493506494,0.0014519921931816884,0.9962106512657793,0.006128190281610808,0.9910406885564429,0.01833412815617471,15.2,5.761944116355173,15.4,6.188699378706321,0.2,0.447213595499958,0.6,0.8944271909999159,0.2,0.447213595499958,97.4,117.55551879856598,177.6,260.5854946078158
Temperatura,com_erro,mlp,oscilacao,0.776320597043729,0.06461823516805137,0.7617567686241662,0.07919702787459512,0.7899270959306784,0.07143443608338083,0.8454449326617368,0.03373719363866187,0.8148894964684438,0.0398365965531763,0.67806860455875,0.15629880263529583,10.4,1.51657508881031,11.8,1.7888543819998317,1.4,0.8944271909999159,8.6,5.224940191045253,5.6,2.3021728866442674,30.0,6.745368781616021,17.2,4.43846820423443
Temperatura,com_erro,mlp,queda,0.6342378317457703,0.07805930856384347,0.6198182375378524,0.09739472220969739,0.6062754611919571,0.0695136595005895,0.7572529453293532,0.11779285448603728,0.6703478877444395,0.07187847705877964,0.4823835297323401,0.24379441431825855,12.2,2.280350850198276,13.2,2.16794833886788,1.0,1.224744871391589,27.6,31.595885808123818,8.8,2.6832815729997477,42.6,48.41280822261812,17.8,7.661592523751182
Temperatura,com_erro,random_forest,lacuna,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9999999999979613,1.2713082267726268e-12,20.2,2.949576240750525,20.2,2.949576240750525,0.0,0.0,0.0,0.0,0.0,0.0,229.6,85.66679636825461,591.2,202.56900058992244
Temperatura,com_erro,random_forest,oscilacao,0.6991423615966401,0.05910462890529314,0.6648191856250709,0.0642359124403896,0.6905966786248476,0.06269159011267028,0.8774702886247878,0.06787854783375627,0.7709058383698097,0.0495734251753927,0.4521680826059306,0.07926326385089859,10.0,1.8708286933869707,10.6,1.9493588689617924,0.6,1.3416407864998738,14.8,7.395944834840239,4.4,2.701851217221259,31.2,7.19027120489902,12.0,5.04975246918104
Temperatura,com_erro,random_forest,queda,0.6903768212669075,0.0777024264201136,0.6936530698757355,0.07103525997128171,0.7337391067538126,0.13728289423573892,0.6202523438741459,0.07254701994996533,0.6648725753738016,0.06936922413524416,0.7670537958492687,0.1402160650029145,11.6,0.8944271909999157,11.4,1.140175425099138,-0.2,0.8366600265340756,7.2,4.8166378315169185,10.8,2.2803508501982765,17.6,2.4083189157584592,22.6,6.6558245169174945
Temperatura,com_erro,xgboost,lacuna,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9999999999985365,6.13934510736334e-14,20.4,2.8809720581775866,20.4,2.8809720581775866,0.0,0.0,0.0,0.0,0.0,0.0,262.8,27.662248643232168,684.2,27.66224864323217
