evento_id,falha,inicio,fim,duracao_pts,variavel,rodada,cenario,base
oscilacao_001,oscilacao,2023-10-14 18:30:00,2023-10-15 02:00:00,46.0,"MP2,5_1",1,sem_erro,treino
oscilacao_002,oscilacao,2023-10-28 11:50:00,2023-10-28 19:10:00,45.0,"MP2,5_1",1,sem_erro,treino
oscilacao_003,oscilacao,2023-10-29 15:00:00,2023-10-29 22:00:00,43.0,"MP2,5_1",1,sem_erro,treino
oscilacao_004,oscilacao,2023-10-15 11:10:00,2023-10-15 21:00:00,60.0,"MP2,5_1",1,sem_erro,treino
oscilacao_005,oscilacao,2023-11-02 01:10:00,2023-11-02 12:10:00,67.0,"MP2,5_1",1,sem_erro,treino
oscilacao_006,oscilacao,2023-10-31 11:20:00,2023-10-31 22:00:00,65.0,"MP2,5_1",1,sem_erro,treino
oscilacao_007,oscilacao,2023-11-04 14:40:00,2023-11-04 21:20:00,41.0,"MP2,5_1",1,sem_erro,treino
oscilacao_008,oscilacao,2023-10-12 05:40:00,2023-10-12 11:40:00,37.0,"MP2,5_1",1,sem_erro,treino
oscilacao_009,oscilacao,2023-10-13 03:30:00,2023-10-13 12:40:00,56.0,"MP2,5_1",1,sem_erro,treino
oscilacao_010,oscilacao,2023-10-24 16:20:00,2023-10-25 03:00:00,65.0,"MP2,5_1",1,sem_erro,treino
oscilacao_011,oscilacao,2023-10-18 09:50:00,2023-10-18 17:40:00,48.0,"MP2,5_1",1,sem_erro,treino
oscilacao_012,oscilacao,2023-10-11 07:50:00,2023-10-11 16:40:00,54.0,"MP2,5_1",1,sem_erro,treino
oscilacao_013,oscilacao,2023-10-15 21:10:00,2023-10-16 06:10:00,55.0,"MP2,5_1",1,sem_erro,treino
oscilacao_014,oscilacao,2023-10-25 15:20:00,2023-10-26 03:00:00,71.0,"MP2,5_1",1,sem_erro,treino
oscilacao_015,oscilacao,2023-10-22 17:00:00,2023-10-23 01:50:00,54.0,"MP2,5_1",1,sem_erro,treino
oscilacao_016,oscilacao,2023-10-09 19:00:00,2023-10-10 05:10:00,62.0,"MP2,5_1",1,sem_erro,treino
